org_id,tbl_id,tbl_name,category_path,axis_id,axis_name,axis_order,code_id,code_name,parent_code_id,is_item,unit_id,unit_name,unit_eng_name
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007001,중졸 이하,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007002,고등학교,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007003,2 3년제 전문대학,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007004,4년제 이상 대학,007,N,,,
164,DT_164004_2023035,지능형 기기 이용 의도_지능형 로봇,지능정보사회이용자패널조사 > 2023년 > 지능정보기술·서비스의 이용 현황 및 지능정보화 환경 평가,A,구분별,1,007005,대학원 이상,007,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,ITEM,항목,,00,종사자수,,Y,14STD04547,명,In Person
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AD_373,전체,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A0,업종별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA000_373,제조업용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AA_373,전문서비스용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AB_373,개인서비스용 로봇,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,15401AA0AC_373,로봇부품 및 부분품,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A05,로봇 시스템,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A06,로봇 임베디드,A0,N,,,
