org_id,tbl_id,code_type,obj_id,obj_name,code,name
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0173,달리 명시되지 않은 동물간장의 것 (조제   또는 저장한 것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01730,기타(달리 명시되지 않은 동물간장의 것 (조제   또는 저장한 것))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01731,밀폐용기에 넣은 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01739,기타 달리명시되지않은 동물간장의것(조제 또는 저장한것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0174,001.4항의 가금류의 것 조제 또는 저장한   것(간장 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01740,기타(001.4항의 가금류의 것 조제 또는 저장한   것(간장 제외))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01741,칠면조의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01749,기타의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0175,달리 명시되지 않은 조제 또는 저장한 돼지   고기 및 설육(간장 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01750,기타(달리 명시되지 않은 조제 또는 저장한 돼지   고기 및 설육(간장 제외))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01751,넓적다리살과 그 절단육
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01752,어깨살과 그 절단육
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01759,기타 조제 또는 저장한 돼지고기및 설육(혼합물 포함)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0176,달리 명시되지 않은 조제 또는 저장한 쇠고   기 및 설육(간장제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01760,기타(달리 명시되지 않은 조제 또는 저장한 쇠고   기 및 설육(간장제외))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01761,밀폐용기에 넣은 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01769,기타 달리 명시되지않은 조제 또는 저장한 쇠고기 및 설육
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0179,기타 조제 및 저장한 고기 및 설육 (동물의   피 조제품 포함)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01790,기타(기타 조제 및 저장한 고기 및 설육 (동물의   피 조제품 포함))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01791,밀폐용기에 넣은것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.01799,기타 조제 및 저장한 고기 및 설육
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02,낙농품 및 새알
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.022,우유.크림 및 우유생산품(버터 및 치이즈 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0221,우유 및 크림.농축 또는 가당하지 않은 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02211,지방분이 1% 이하의 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02212,지방분이 1%를 초과하고 6% 이하의 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02213,지방분이 6%를 초과하는 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0222,우유 및 크림농축 또는 가당한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02221,고체상태의 우유로서 지방분이 1.5% 이하의   것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02222,고체상태의 우유 및 크림으로서 지방분이   1.5%를 초과하는 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02223,우유 및 크림 고체상태가 아닌 것으로 가당   하지 아니한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02224,우유 및 크림 고체상태가 아닌 것으로서   가당한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0223,요구르트 : 버터밀크응고발효 혹은 산성화된 밀크와 크림 : 아이스크¿
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02231,요구르트 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02232,버터밀크 응고우유 및 크림 케피어 및 기타   발효 또는 산성화된 밀크와 크림
